sec,real_x,real_y,real_speed,real_node,real_edge,real_status,sim1_x,sim1_y,sim1_speed,sim1_node,sim1_edge,sim1_status,planned_real_x,planned_real_y,planned_real_u,planned_real_v,planned_real_tau,planned_real_available,real_sim_distance_m,real_edge_tuple,sim1_edge_tuple,real_edge_undir,sim1_edge_undir,same_physical_edge,opposite_edge_flag,close_distance_flag,very_close_flag,planned_to_sim_distance_m,planned_same_sim_edge,distance_delta_1s,distance_delta_3s,closing_speed_est,planned_distance_delta_1s,tms_action,tms_conflict_count,tms_horizon_s,tms_hold_s,tms_first_severity,dynamic_decision_action,safe_node_action,operator_event,hard_stop_event,hard_stop_operator,hard_stop_scanner,urgent_control_event,virtual_scanner_event,state_label,risk_binary,run_id
0,-4.536039352416992,1.452277660369873,0.0,5.0,29->5,IDLE,-3.5,21.81,0.0,,1->7,moving,,,5.0,29.0,,0,20.384068200367466,"(29, 5)","(1, 7)","(5, 29)","(1, 7)",0,0,0,0,,0,0.0,0.0,-0.0,0.0,clear,0.0,0.0,0.0,0.0,none,none,0,0,0,0,0,0,normal,0,dataset2
1,-4.536039352416992,1.452277660369873,0.0,5.0,29->5,IDLE,-3.5,21.81,0.0,,1->7,moving,,,5.0,29.0,,0,20.384068200367466,"(29, 5)","(1, 7)","(5, 29)","(1, 7)",0,0,0,0,,0,0.0,0.0,-0.0,0.0,clear,0.0,0.0,0.0,0.0,none,none,0,0,0,0,0,0,normal,0,dataset2
2,-4.536039352416992,1.452277660369873,0.0,5.0,29->5,IDLE,-3.5,21.81,0.0,,1->7,moving,,,5.0,29.0,,0,20.384068200367466,"(29, 5)","(1, 7)","(5, 29)","(1, 7)",0,0,0,0,,0,0.0,0.0,-0.0,0.0,clear,0.0,0.0,0.0,0.0,none,none,0,0,0,0,0,0,normal,0,dataset2
3,-4.536039352416992,1.452277660369873,0.0,5.0,29->5,IDLE,-3.5,21.81,0.0,,1->7,moving,,,5.0,29.0,,0,20.384068200367466,"(29, 5)","(1, 7)","(5, 29)","(1, 7)",0,0,0,0,,0,0.0,0.0,-0.0,0.0,clear,0.0,0.0,0.0,0.0,none,none,0,0,0,0,0,0,normal,0,dataset2
4,-4.536039352416992,1.452277660369873,0.0,5.0,29->5,IDLE,-3.5,21.81,0.0,,1->7,moving,,,5.0,29.0,,0,20.384068200367466,"(29, 5)","(1, 7)","(5, 29)","(1, 7)",0,0,0,0,,0,0.0,0.0,-0.0,0.0,clear,0.0,0.0,0.0,0.0,none,none,0,0,0,0,0,0,normal,0,dataset2
5,-4.536039352416992,1.452277660369873,0.0,5.0,29->5,IDLE,-3.5,21.81,0.0,,1->7,moving,,,5.0,29.0,,0,20.384068200367466,"(29, 5)","(1, 7)","(5, 29)","(1, 7)",0,0,0,0,,0,0.0,0.0,-0.0,0.0,clear,0.0,0.0,0.0,0.0,none,none,0,0,0,0,0,0,normal,0,dataset2
6,-4.536039352416992,1.452277660369873,0.0,5.0,29->5,IDLE,-3.5,21.81,0.0,,1->7,moving,,,5.0,29.0,,0,20.384068200367466,"(29, 5)","(1, 7)","(5, 29)","(1, 7)",0,0,0,0,,0,0.0,0.0,-0.0,0.0,clear,0.0,0.0,0.0,0.0,none,none,0,0,0,0,0,0,normal,0,dataset2
7,-4.536039352416992,1.452277660369873,0.0,5.0,29->5,IDLE,-3.5,21.81,0.0,,1->7,moving,,,5.0,29.0,,0,20.384068200367466,"(29, 5)","(1, 7)","(5, 29)","(1, 7)",0,0,0,0,,0,0.0,0.0,-0.0,0.0,clear,0.0,0.0,0.0,0.0,none,none,0,0,0,0,0,0,normal,0,dataset2
8,-4.536039352416992,1.452277660369873,0.0,5.0,29->5,IDLE,-3.5,21.81,0.0,,1->7,moving,,,5.0,29.0,,0,20.384068200367466,"(29, 5)","(1, 7)","(5, 29)","(1, 7)",0,0,0,0,,0,0.0,0.0,-0.0,0.0,clear,0.0,0.0,0.0,0.0,none,none,0,0,0,0,0,0,normal,0,dataset2
9,-4.536039352416992,1.452277660369873,0.0,5.0,29->5,IDLE,-3.5,21.81,0.0,,1->7,moving,,,5.0,29.0,,0,20.384068200367466,"(29, 5)","(1, 7)","(5, 29)","(1, 7)",0,0,0,0,,0,0.0,0.0,-0.0,0.0,clear,0.0,0.0,0.0,0.0,none,none,0,0,0,0,0,0,normal,0,dataset2
