local_time,method,nodeid,dtype,value,ok,verify_ok,readback
2026-05-19 16:54:13,direct_minimal,ns=4;s=FN.6100.[NNC] - Natural Navigation Command.3005 - Go to destination - Trigger,uint32,0,True,True,0
2026-05-19 16:54:16,direct_minimal,ns=4;s=FN.6100.[BC] BRAKES CONTROL.Brakes - block,bool,False,True,True,False
2026-05-19 16:54:16,direct_minimal,ns=4;s=FN.6100.[BC] BRAKES CONTROL.Brakes - release,bool,True,True,True,True
2026-05-19 16:54:17,direct_minimal,ns=4;s=FN.6100.[NNC] - Natural Navigation Command.3005 - Go to destination - Trigger,uint32,0,True,True,0
2026-05-19 16:54:17,direct_minimal,ns=4;s=FN.6100.[NNC] - Natural Navigation Command.3005 - Go to destination - Destination ID,uint32,6,True,True,6
2026-05-19 16:54:18,direct_minimal,ns=4;s=FN.6100.[NNC] - Natural Navigation Command.3005 - Go to destination - Trigger,uint32,1,True,True,1
2026-05-19 16:54:19,direct_minimal,ns=4;s=FN.6100.[NNC] - Natural Navigation Command.3005 - Go to destination - Trigger,uint32,0,True,True,0
2026-05-19 16:55:01,direct_minimal_safety,ns=4;s=FN.6100.[BC] BRAKES CONTROL.Brakes - release,bool,False,True
2026-05-19 16:55:02,direct_minimal_safety,ns=4;s=FN.6100.[BC] BRAKES CONTROL.Brakes - block,bool,True,True
2026-05-19 16:55:02,direct_minimal_safety,ns=4;s=FN.6100.[GSC] - General Signals Control.Activate manual mode,bool,True,False,"direct_minimal failed: set_attribute=""The node id refers to a node that does not exist in the server address space.""(BadNodeIdUnknown); raw_write=No known way to pack [WriteValue(NodeId:{self.NodeId}, AttributeId:{self.AttributeId}, IndexRange:{self.IndexRange}, Value:{self.Value})] of type WriteParameters to ua binary"
2026-05-19 16:55:02,direct_minimal_safety,ns=4;s=FN.6100.[MC] - Manual Control.Manual Control - enable,bool,True,True
2026-05-19 16:55:02,direct_minimal_safety,ns=4;s=FN.6100.[MC] - Manual Control.Manual Control - move forward,bool,False,True
2026-05-19 16:55:02,direct_minimal_safety,ns=4;s=FN.6100.[MC] - Manual Control.Manual Control - move backward,bool,False,True
2026-05-19 16:55:02,direct_minimal_safety,ns=4;s=FN.6100.[MC] - Manual Control.Manual Control - rotate left,bool,False,True
2026-05-19 16:55:02,direct_minimal_safety,ns=4;s=FN.6100.[MC] - Manual Control.Manual Control - rotate right,bool,False,True
2026-05-19 16:55:02,direct_minimal_safety,ns=4;s=FN.6100.[MC] - Manual Control.Manual Control - turn left,bool,False,True
